GEO_ID,NAME,B06009_001E
,,
37001,"Alamance County, North Carolina",119350
37019,"Brunswick County, North Carolina",123427
37021,"Buncombe County, North Carolina",202603
37023,"Burke County, North Carolina",65981
37025,"Cabarrus County, North Carolina",157997
37027,"Caldwell County, North Carolina",58333
37031,"Carteret County, North Carolina",53751
37035,"Catawba County, North Carolina",115082
37037,"Chatham County, North Carolina",58580
37045,"Cleveland County, North Carolina",69440
37049,"Craven County, North Carolina",69000
37051,"Cumberland County, North Carolina",209375
37057,"Davidson County, North Carolina",121361
37063,"Durham County, North Carolina",231307
37067,"Forsyth County, North Carolina",262167
37069,"Franklin County, North Carolina",51808
37071,"Gaston County, North Carolina",163467
37081,"Guilford County, North Carolina",361159
37085,"Harnett County, North Carolina",91084
37089,"Henderson County, North Carolina",89502
37097,"Iredell County, North Carolina",137165
37101,"Johnston County, North Carolina",158636
37105,"Lee County, North Carolina",44477
37109,"Lincoln County, North Carolina",66162
37119,"Mecklenburg County, North Carolina",779742
37125,"Moore County, North Carolina",76554
37127,"Nash County, North Carolina",67288
37129,"New Hanover County, North Carolina",166758
37133,"Onslow County, North Carolina",113391
37135,"Orange County, North Carolina",92593
37141,"Pender County, North Carolina",47102
37147,"Pitt County, North Carolina",106189
37151,"Randolph County, North Carolina",101979
37155,"Robeson County, North Carolina",74653
37157,"Rockingham County, North Carolina",65934
37159,"Rowan County, North Carolina",103703
37171,"Surry County, North Carolina",51154
37179,"Union County, North Carolina",163081
37183,"Wake County, North Carolina",800325
37191,"Wayne County, North Carolina",79276
37193,"Wilkes County, North Carolina",47735
37195,"Wilson County, North Carolina",53518
45003,"Aiken County, South Carolina",126234
45007,"Anderson County, South Carolina",144672
45013,"Beaufort County, South Carolina",141265
45015,"Berkeley County, South Carolina",163347
45019,"Charleston County, South Carolina",302242
45035,"Dorchester County, South Carolina",112365
45041,"Florence County, South Carolina",92305
45045,"Greenville County, South Carolina",376965
45047,"Greenwood County, South Carolina",46690
45051,"Horry County, South Carolina",288791
45055,"Kershaw County, South Carolina",46937
45057,"Lancaster County, South Carolina",75376
45059,"Laurens County, South Carolina",48046
45063,"Lexington County, South Carolina",212078
45073,"Oconee County, South Carolina",59699
45075,"Orangeburg County, South Carolina",56500
45077,"Pickens County, South Carolina",84419
45079,"Richland County, South Carolina",267592
45083,"Spartanburg County, South Carolina",233791
45085,"Sumter County, South Carolina",69619
45091,"York County, South Carolina",201854
