GEO_ID,NAME,Total Pop,Only_English,Other_than_english,Speak_Spanish
01,Alabama,4790232,4514008,276224,169279
02,Alaska,687086,579673,107413,24042
04,Arizona,6965784,5142837,1822947,1380201
05,Arkansas,2867872,2634172,233700,171848
06,California,36910956,20540480,16370476,10461392
08,Colorado,5534863,4639472,895391,608758
09,Connecticut,3447752,2645184,802568,439720
10,Delaware,964338,834032,130306,68718
11,District of Columbia,632768,502515,130253,59733
12,Florida,21143473,14758852,6384621,4687222
13,Georgia,10291750,8761133,1530617,830335
15,Hawaii,1361269,1031940,329329,28996
16,Idaho,1827217,1626135,201082,146999
17,Illinois,11907821,9067296,2840525,1638808
18,Indiana,6434006,5789288,644718,327175
19,Iowa,3020507,2750479,270028,133460
20,Kansas,2760477,2438059,322418,216384
21,Kentucky,4251877,3999356,252521,118720
22,Louisiana,4319304,3988908,330396,157029
23,Maine,1324322,1245300,79022,10873
24,Maryland,5815467,4611882,1203585,519045
25,Massachusetts,6639722,4978950,1660772,634281
26,Michigan,9497313,8530898,966415,284645
27,Minnesota,5389089,4732769,656320,203771
28,Mississippi,2770754,2656558,114196,65968
29,Missouri,5828309,5456017,372292,155827
30,Montana,1065843,1017271,48572,15027
31,Nebraska,1846816,1633928,212888,134605
32,Nevada,3005197,2107939,897258,620424
33,New Hampshire,1332565,1228997,103568,36485
34,New Jersey,8748366,5921644,2826722,1456842
35,New Mexico,2008350,1386902,621448,497719
36,New York,18621696,12908942,5712754,2724702
37,North Carolina,10114481,8825135,1289346,802686
38,North Dakota,731417,679369,52048,17107
39,Ohio,11094862,10236131,858731,271951
40,Oklahoma,3779627,3365023,414604,293264
41,Oregon,4040553,3421719,618834,363810
42,Pennsylvania,12303274,10787386,1515888,694720
44,Rhode Island,1041779,812960,228819,132546
45,South Carolina,5001208,4612961,388247,235588
46,South Dakota,852578,789718,62860,20783
47,Tennessee,6649124,6129297,519827,292376
48,Texas,28147854,18256559,9891295,7973826
49,Utah,3152336,2653546,498790,332752
50,Vermont,619189,585732,33457,7458
51,Virginia,8201937,6805548,1396389,611831
53,Washington,7364064,5807468,1556596,647707
54,West Virginia,1687687,1644806,42881,20142
55,Wisconsin,5583295,5095991,487304,258663
56,Wyoming,550937,516412,34525,26295
72,Puerto Rico,3122357,146147,2976210,2970588
