school_num,school,school_typ,address,city,zipcode,magnet,grdlevl,x,y,mag_focus,schl_stat
5301.00000000000,ALBEMARLE ROAD,MIDDLE,6900 Democracy Drive,Charlotte,28212.00000000000,Partial,6-8,1483401.99457000010,531780.99568599998,International Baccalaureate,Current
4300.00000000000,ALBEMARLE ROAD,ELEMENTARY,7800 Riding Trail Road,Charlotte,28212.00000000000,Non Magnet,K-5,1483354.99597999989,531183.99917700002,,Current
5399.00000000000,ALEXANDER GRAHAM,MIDDLE,1800 Runnymede Lane,Charlotte,28211.00000000000,Non Magnet,6-8,1452254.00044000009,520695.99751500000,,Current
4308.00000000000,ALLENBROOK,ELEMENTARY,1430 Allenbrook Drive,Charlotte,28208.00000000000,Non Magnet,K-5,1428362.00163000007,555687.99806899996,,Current
7302.00000000000,ARDREY KELL,HIGH,10220 Ardrey Kell Road,Charlotte,28277.00000000000,Non Magnet,9-12,1453101.00005999999,470752.99766300002,,Current
4311.00000000000,ASHLEY PARK PRE K-8,MIDDLE,2401 Belfast Drive,Charlotte,28208.00000000000,Non Magnet,6-8,1435293.00613999995,545021.99512300000,,Current
4311.00000000000,ASHLEY PARK PRE K-8,ELEMENTARY,2401 Belfast Drive,Charlotte,28208.00000000000,Non Magnet,PreK-5,1435293.00613999995,545021.99512300000,,Current
5313.00000000000,BAILEY,MIDDLE,11900 Bailey Road,Cornelius,28031.00000000000,Non Magnet,6-8,1452909.00044000009,630182.99310700002,,Current
4314.00000000000,BAIN,ELEMENTARY,11540 Bain School Road,Charlotte,28227.00000000000,Non Magnet,K-5,1507069.99875000003,522082.99506900000,,Current
4437.00000000000,BALLANTYNE,ELEMENTARY,15425 Scholastic Drive,Charlotte,28277.00000000000,Non Magnet,K-5,1444457.99995000008,473699.99800299999,,Current
4328.00000000000,BARNETTE,ELEMENTARY,13659 Beatties Ford Road,Huntersville,28078.00000000000,Non Magnet,K-5,1426380.00329999998,605919.99537400005,,Current
4316.00000000000,CHARLES H PARKER ACADEMIC CENTER,ELEMENTARY,1546 Walton Road,Charlotte,28208.00000000000,Partial,K-5,1435610.00714999996,537408.99952199997,Learning Immersion & Talent Development,Current
4369.00000000000,BEREWICK,ELEMENTARY,5910 Dixie River Road,Charlotte,28278.00000000000,Non Magnet,K-5,1408532.00224999990,524108.99889100000,,Current
7496.00000000000,BERRY ACADEMY OF TECHNOLOGY,HIGH,1430 Alleghany Street,Charlotte,28208.00000000000,Full,9-12,1435186.00111000007,547310.99480999995,STEM,Current
4319.00000000000,BERRYHILL,MIDDLE,10501 Windy Grove Road,Charlotte,28278.00000000000,Non Magnet,6-8,1405506.00108999992,538408.99719400005,,Current
4319.00000000000,BERRYHILL,ELEMENTARY,10501 Windy Grove Road,Charlotte,28208.00000000000,Non Magnet,K-5,1405506.00108999992,538408.99719400005,,Current
4322.00000000000,BEVERLY WOODS,ELEMENTARY,6001 Quail Hollow Road,Charlotte,28210.00000000000,Non Magnet,K-5,1450743.00674000010,507805.99737599998,,Current
4335.00000000000,BILLINGSVILLE,ELEMENTARY,124 Skyland Avenue,Charlotte,28205.00000000000,Partial,K-2,1459438.00148999994,531341.99361100001,International Baccalaureate,Current
4442.00000000000,BLYTHE,ELEMENTARY,12202 Hambright Road,Huntersville,28078.00000000000,Partial,K-5,1452971.99998999992,596980.99881599995,International Baccalaureate,Current
4329.00000000000,BRIARWOOD ACADEMY,ELEMENTARY,1001 Wilann Drive,Charlotte,28215.00000000000,Non Magnet,K-5,1472935.99548999988,551268.99771999998,,Current
4489.00000000000,BRUNS ACADEMY,ELEMENTARY,501 South Bruns Avenue,Charlotte,28208.00000000000,Partial,K-5,1443238.00633000000,547107.99751200003,Environmental Sustainability,Current
7361.00000000000,BUTLER,HIGH,1810 Matthews-Mint Hill Rd,Matthews,28105.00000000000,Non Magnet,9-12,1494309.99637999991,503109.99528500001,,Current
5333.00000000000,CARMEL,MIDDLE,5001 Camilla Drive,Charlotte,28226.00000000000,Non Magnet,6-8,1460485.00465000002,506719.99987599999,,Current
7334.00000000000,CATO MIDDLE COLLEGE,HIGH,8120 Grier Road,Charlotte,28215.00000000000,SchoolOption,11-13,1483269.99384999997,555791.99458000006,Early & Middle Colleges,Current
4336.00000000000,CHANTILLY MONTESSORI,ELEMENTARY,701 Briar Creek Road,Charlotte,28205.00000000000,Full,PreK-6,1462207.99791999999,535426.99364300002,Montessori,Current
7567.00000000000,CHARLOTTE ENGINEERING EARLY COLLEGE,HIGH,9000 Robert D. Snyder Road,Charlotte,28262.00000000000,SchoolOption,9-13,1479717.99274999998,571907.99286000000,Early & Middle Colleges,Current
7569.00000000000,CHARLOTTE TEACHER EARLY COLLEGE,HIGH,9000 Robert D. Snyder Road,Charlotte,28262.00000000000,SchoolOption,9-11,1479717.99274999998,571907.99286000000,Early & Middle Colleges,Current
4338.00000000000,CLEAR CREEK,ELEMENTARY,13501 Albemarle Road,Charlotte,28227.00000000000,Non Magnet,K-5,1514644.99802999990,540313.99764900003,,Current
4344.00000000000,COLLINSWOOD LANGUAGE ACADEMY,MIDDLE,4000 Applegate Road,Charlotte,28209.00000000000,Full,6-8,1440876.00679000001,527456.99744399998,World Languages,Current
